sample,total_count,population,count,percentage
sample04550,93128,nk_cell,14106,15.1468945967
sample04551,90141,b_cell,12437,13.7972731609
sample04551,90141,cd4_t_cell,20348,22.5735237018
sample04551,90141,cd8_t_cell,25695,28.5053416314
sample04551,90141,monocyte,17521,19.4373259671
sample04551,90141,nk_cell,14140,15.6865355388
sample04552,90852,b_cell,5514,6.0692114648
sample04552,90852,cd4_t_cell,32795,36.0971690221
sample04552,90852,cd8_t_cell,18928,20.8338836790
sample04552,90852,monocyte,23019,25.3368115176
sample04552,90852,nk_cell,10596,11.6629243165
sample04553,94460,b_cell,5931,6.2788481897
sample04553,94460,cd4_t_cell,36033,38.1463053144
sample04553,94460,cd8_t_cell,19464,20.6055473216
sample04553,94460,monocyte,15469,16.3762439128
sample04553,94460,nk_cell,17563,18.5930552615
sample04554,85851,b_cell,5818,6.7768575788
sample04554,85851,cd4_t_cell,20630,24.0300054746
sample04554,85851,cd8_t_cell,17580,20.4773386449
sample04554,85851,monocyte,24077,28.0451013966
sample04554,85851,nk_cell,17746,20.6706969051
sample04555,110489,b_cell,7080,6.4078777073
sample04555,110489,cd4_t_cell,38955,35.2569034021
sample04555,110489,cd8_t_cell,23506,21.2745160152
sample04555,110489,monocyte,27210,24.6268859343
sample04555,110489,nk_cell,13738,12.4338169411
sample04556,105341,b_cell,10645,10.1052771475
sample04556,105341,cd4_t_cell,27506,26.1113906266
sample04556,105341,cd8_t_cell,28350,26.9125981337
sample04556,105341,monocyte,19881,18.8729934214
sample04556,105341,nk_cell,18959,17.9977406708
sample04557,100308,b_cell,10134,10.1028831200
sample04557,100308,cd4_t_cell,28466,28.3785939307
sample04557,100308,cd8_t_cell,23797,23.7239302947
sample04557,100308,monocyte,21513,21.4469434143
sample04557,100308,nk_cell,16398,16.3476492403
sample04558,104414,b_cell,11115,10.6451242171
sample04558,104414,cd4_t_cell,31856,30.5093186737
sample04558,104414,cd8_t_cell,26590,25.4659336871
sample04558,104414,monocyte,18908,18.1086827437
sample04558,104414,nk_cell,15945,15.2709406785
sample04559,108383,b_cell,14336,13.2271666221
sample04559,108383,cd4_t_cell,32661,30.1347997380
sample04559,108383,cd8_t_cell,27504,25.3766734636
sample04559,108383,monocyte,19845,18.3100670769
sample04559,108383,nk_cell,14037,12.9512930995
sample04560,103537,b_cell,11800,11.3968919324
sample04560,103537,cd4_t_cell,34957,33.7628094304
sample04560,103537,cd8_t_cell,32244,31.1424901243
sample04560,103537,monocyte,14515,14.0191429151
sample04560,103537,nk_cell,10021,9.6786655978
sample04561,100504,b_cell,6936,6.9012178620
sample04561,100504,cd4_t_cell,23754,23.6348802038
sample04561,100504,cd8_t_cell,34561,34.3876860622
sample04561,100504,monocyte,17262,17.1754358036
sample04561,100504,nk_cell,17991,17.9007800685
sample04562,97949,b_cell,13771,14.0593574207
sample04562,97949,cd4_t_cell,32524,33.2050352735
sample04562,97949,cd8_t_cell,25245,25.7736168823
sample04562,97949,monocyte,15203,15.5213427396
sample04562,97949,nk_cell,11206,11.4406476840
sample04563,91177,b_cell,6169,6.7659607138
sample04563,91177,cd4_t_cell,36426,39.9508648014
sample04563,91177,cd8_t_cell,24828,27.2305515645
sample04563,91177,monocyte,11998,13.1590203670
sample04563,91177,nk_cell,11756,12.8936025533
sample04564,98857,b_cell,13588,13.7451065681
sample04564,98857,cd4_t_cell,31438,31.8014910426
sample04564,98857,cd8_t_cell,19970,20.2008962441
sample04564,98857,monocyte,17956,18.1636100630
sample04564,98857,nk_cell,15905,16.0888960822
sample04565,106052,b_cell,14094,13.2897069362
sample04565,106052,cd4_t_cell,34314,32.3558254441
sample04565,106052,cd8_t_cell,17981,16.9548900539
sample04565,106052,monocyte,21029,19.8289518349
sample04565,106052,nk_cell,18634,17.5706257308
sample04566,98141,b_cell,10137,10.3290164152
sample04566,98141,cd4_t_cell,30883,31.4679899329
sample04566,98141,cd8_t_cell,20815,21.2092805250
sample04566,98141,monocyte,28119,28.6516338737
sample04566,98141,nk_cell,8187,8.3420792533
sample04567,94486,b_cell,7035,7.4455474885
sample04567,94486,cd4_t_cell,34753,36.7811104291
sample04567,94486,cd8_t_cell,26069,27.5903308427
sample04567,94486,monocyte,9754,10.3232224880
sample04567,94486,nk_cell,16875,17.8597887518
sample04568,102272,b_cell,15434,15.0911295369
sample04568,102272,cd4_t_cell,26734,26.1400969962
sample04568,102272,cd8_t_cell,21329,20.8551705257
sample04568,102272,monocyte,21200,20.7290362954
sample04568,102272,nk_cell,17575,17.1845666458
sample04569,103507,b_cell,24121,23.3037379114
sample04569,103507,cd4_t_cell,23974,23.1617185311
sample04569,103507,cd8_t_cell,23635,22.8342044499
sample04569,103507,monocyte,20330,19.6411836881
sample04569,103507,nk_cell,11447,11.0591554194
sample04570,93551,b_cell,17045,18.2200083377
sample04570,93551,cd4_t_cell,21404,22.8794988830
sample04570,93551,cd8_t_cell,20666,22.0906243653
sample04570,93551,monocyte,20780,22.2124830306
sample04570,93551,nk_cell,13656,14.5973853834
sample04571,104326,b_cell,9763,9.3581657497
sample04571,104326,cd4_t_cell,40308,38.6365814850
sample04571,104326,cd8_t_cell,18725,17.9485459042
sample04571,104326,monocyte,27136,26.0107739202
sample04571,104326,nk_cell,8394,8.0459329410
sample04572,104766,b_cell,9801,9.3551342993
sample04572,104766,cd4_t_cell,30355,28.9740946490
sample04572,104766,cd8_t_cell,23986,22.8948322929
sample04572,104766,monocyte,21644,20.6593742245
sample04572,104766,nk_cell,18980,18.1165645343
sample04573,102040,b_cell,5923,5.8045864367
sample04573,102040,cd4_t_cell,33432,32.7636221090
sample04573,102040,cd8_t_cell,34117,33.4349274794
sample04573,102040,monocyte,13820,13.5437083497
sample04573,102040,nk_cell,14748,14.4531556252
sample04574,105521,b_cell,8366,7.9282796789
sample04574,105521,cd4_t_cell,35429,33.5753072848
sample04574,105521,cd8_t_cell,26210,24.8386577079
sample04574,105521,monocyte,19125,18.1243543939
sample04574,105521,nk_cell,16391,15.5334009344
sample04575,111438,b_cell,10709,9.6098278864
sample04575,111438,cd4_t_cell,27006,24.2341032682
sample04575,111438,cd8_t_cell,33521,30.0804034530
sample04575,111438,monocyte,15237,13.6730738168
sample04575,111438,nk_cell,24965,22.4025915756
sample04576,105626,b_cell,7531,7.1298733266
sample04576,105626,cd4_t_cell,29941,28.3462405090
sample04576,105626,cd8_t_cell,30203,28.5942854979
sample04576,105626,monocyte,20336,19.2528354761
sample04576,105626,nk_cell,17615,16.6767651904
sample04577,111618,b_cell,11748,10.5251841101
sample04577,111618,cd4_t_cell,29656,26.5691913491
sample04577,111618,cd8_t_cell,34131,30.5784013331
sample04577,111618,monocyte,21203,18.9960400652
sample04577,111618,nk_cell,14880,13.3311831425
sample04578,90387,b_cell,8324,9.2092889464
sample04578,90387,cd4_t_cell,28495,31.5255512408
sample04578,90387,cd8_t_cell,20998,23.2312168785
sample04578,90387,monocyte,20258,22.4125150741
sample04578,90387,nk_cell,12312,13.6214278602
sample04579,91275,b_cell,8095,8.8688030677
sample04579,91275,cd4_t_cell,25836,28.3056696795
sample04579,91275,cd8_t_cell,21253,23.2845795672
sample04579,91275,monocyte,22415,24.5576554369
sample04579,91275,nk_cell,13676,14.9832922487
sample04580,97449,b_cell,11311,11.6070970456
sample04580,97449,cd4_t_cell,26534,27.2286016275
sample04580,97449,cd8_t_cell,26876,27.5795544336
sample04580,97449,monocyte,18437,18.9196400168
sample04580,97449,nk_cell,14291,14.6651068764
sample04581,108432,b_cell,10127,9.3394938763
sample04581,108432,cd4_t_cell,29486,27.1930795337
sample04581,108432,cd8_t_cell,30158,27.8128227829
sample04581,108432,monocyte,20637,19.0322045153
sample04581,108432,nk_cell,18024,16.6223992917
sample04582,103172,b_cell,8348,8.0913426123
sample04582,103172,cd4_t_cell,29145,28.2489435118
sample04582,103172,cd8_t_cell,27622,26.7727678052
sample04582,103172,monocyte,22896,22.1920676152
sample04582,103172,nk_cell,15161,14.6948784554
sample04583,96939,b_cell,12472,12.8658228370
sample04583,96939,cd4_t_cell,22940,23.6643662509
sample04583,96939,cd8_t_cell,29642,30.5779923457
sample04583,96939,monocyte,24236,25.0012894707
sample04583,96939,nk_cell,7649,7.8905290956
sample04584,107895,b_cell,14623,13.5529913342
sample04584,107895,cd4_t_cell,38285,35.4835719913
sample04584,107895,cd8_t_cell,20477,18.9786366375
sample04584,107895,monocyte,22282,20.6515593864
sample04584,107895,nk_cell,12228,11.3332406506
sample04585,104588,b_cell,8779,8.3938884002
sample04585,104588,cd4_t_cell,31807,30.4117107125
sample04585,104588,cd8_t_cell,21729,20.7758060198
sample04585,104588,monocyte,26314,25.1596741500
sample04585,104588,nk_cell,15959,15.2589207175
sample04586,95630,b_cell,12060,12.6111053017
sample04586,95630,cd4_t_cell,20682,21.6271044651
sample04586,95630,cd8_t_cell,19748,20.6504235073
sample04586,95630,monocyte,32736,34.2319355851
sample04586,95630,nk_cell,10404,10.8794311409
sample04587,104305,b_cell,9217,8.8365850151
sample04587,104305,cd4_t_cell,45151,43.2874742342
sample04587,104305,cd8_t_cell,20211,19.3768275730
sample04587,104305,monocyte,19437,18.6347730214
sample04587,104305,nk_cell,10289,9.8643401563
sample04588,93642,b_cell,8305,8.8688836206
sample04588,93642,cd4_t_cell,25412,27.1373956131
sample04588,93642,cd8_t_cell,25281,26.9975011213
sample04588,93642,monocyte,20100,21.4647273659
sample04588,93642,nk_cell,14544,15.5314922791
sample04589,90896,b_cell,11792,12.9730681218
sample04589,90896,cd4_t_cell,32263,35.4944111952
sample04589,90896,cd8_t_cell,19170,21.0900369653
sample04589,90896,monocyte,18109,19.9227688787
sample04589,90896,nk_cell,9562,10.5197148389
sample04590,110197,b_cell,10850,9.8460030672
sample04590,110197,cd4_t_cell,29010,26.3255805512
sample04590,110197,cd8_t_cell,34839,31.6151982359
sample04590,110197,monocyte,23197,21.0504823180
sample04590,110197,nk_cell,12301,11.1627358277
sample04591,108834,b_cell,15485,14.2280904864
sample04591,108834,cd4_t_cell,34493,31.6932208685
sample04591,108834,cd8_t_cell,20266,18.6210191668
sample04591,108834,monocyte,22271,20.4632743444
sample04591,108834,nk_cell,16319,14.9943951339
sample04592,108944,b_cell,21616,19.8413864004
sample04592,108944,cd4_t_cell,29441,27.0239756205
sample04592,108944,cd8_t_cell,25420,23.3330885593
sample04592,108944,monocyte,26346,24.1830665296
sample04592,108944,nk_cell,6121,5.6184828903
sample04593,101954,b_cell,15775,15.4726641427
sample04593,101954,cd4_t_cell,31220,30.6216529023
sample04593,101954,cd8_t_cell,21241,20.8339054868
sample04593,101954,monocyte,23400,22.9515271593
sample04593,101954,nk_cell,10318,10.1202503090
sample04594,98514,b_cell,7216,7.3248472298
sample04594,98514,cd4_t_cell,26132,26.5261790202
sample04594,98514,cd8_t_cell,20153,20.4569908845
sample04594,98514,monocyte,27430,27.8437582476
sample04594,98514,nk_cell,17583,17.8482246178
sample04595,104081,b_cell,10199,9.7990987788
sample04595,104081,cd4_t_cell,36369,34.9429771044
sample04595,104081,cd8_t_cell,20279,19.4838635294
sample04595,104081,monocyte,23767,22.8350995859
sample04595,104081,nk_cell,13467,12.9389610015
sample04596,107209,b_cell,10342,9.6465781791
sample04596,107209,cd4_t_cell,38195,35.6266731338
sample04596,107209,cd8_t_cell,34611,32.2836702143
sample04596,107209,monocyte,10222,9.5346472777
sample04596,107209,nk_cell,13839,12.9084311951
sample04597,93621,b_cell,10341,11.0455987439
sample04597,93621,cd4_t_cell,31513,33.6601830786
sample04597,93621,cd8_t_cell,21881,23.3718930582
sample04597,93621,monocyte,14728,15.7315132289
sample04597,93621,nk_cell,15158,16.1908118905
sample04598,93314,b_cell,7905,8.4713976467
sample04598,93314,cd4_t_cell,27191,29.1392502733
sample04598,93314,cd8_t_cell,16113,17.2675054118
sample04598,93314,monocyte,26330,28.2165591444
sample04598,93314,nk_cell,15775,16.9052875238
sample04599,103958,b_cell,8232,7.9185825045
sample04599,103958,cd4_t_cell,31089,29.9053463899
sample04599,103958,cd8_t_cell,28022,26.9551164894
sample04599,103958,monocyte,24848,23.9019604071
sample04599,103958,nk_cell,11767,11.3189942092
sample04600,105060,b_cell,19928,18.9682086427
sample04600,105060,cd4_t_cell,32650,31.0774795355
sample04600,105060,cd8_t_cell,21455,20.4216638112
sample04600,105060,monocyte,13674,13.0154197601
sample04600,105060,nk_cell,17353,16.5172282505
sample04601,92309,b_cell,8062,8.7337096058
sample04601,92309,cd4_t_cell,34608,37.4914688709
sample04601,92309,cd8_t_cell,16845,18.2484914797
sample04601,92309,monocyte,17691,19.1649784961
sample04601,92309,nk_cell,15103,16.3613515475
sample04602,106994,b_cell,7801,7.2910630503
sample04602,106994,cd4_t_cell,38887,36.3450286932
sample04602,106994,cd8_t_cell,23848,22.2891003234
sample04602,106994,monocyte,20799,19.4394078173
sample04602,106994,nk_cell,15659,14.6354001159
sample04603,93284,b_cell,7460,7.9970841731
sample04603,93284,cd4_t_cell,26866,28.8002229750
sample04603,93284,cd8_t_cell,23438,25.1254234381
sample04603,93284,monocyte,22332,23.9397967497
sample04603,93284,nk_cell,13188,14.1374726641
sample04604,101406,b_cell,8839,8.7164467586
sample04604,101406,cd4_t_cell,30572,30.1481174684
sample04604,101406,cd8_t_cell,25676,25.3200007889
sample04604,101406,monocyte,18779,18.5186280891
sample04604,101406,nk_cell,17540,17.2968068951
sample04605,100246,b_cell,8869,8.8472357999
sample04605,100246,cd4_t_cell,34748,34.6627296850
sample04605,100246,cd8_t_cell,24394,24.3341380205
sample04605,100246,monocyte,18289,18.2441194661
sample04605,100246,nk_cell,13946,13.9117770285
sample04606,95466,b_cell,7139,7.4780550144
sample04606,95466,cd4_t_cell,26977,28.2582280603
sample04606,95466,cd8_t_cell,26537,27.7973309869
sample04606,95466,monocyte,21987,23.0312362516
sample04606,95466,nk_cell,12826,13.4351496868
sample04607,103053,b_cell,9227,8.9536452117
sample04607,103053,cd4_t_cell,34586,33.5613713332
sample04607,103053,cd8_t_cell,18538,17.9888018786
sample04607,103053,monocyte,14577,14.1451486128
sample04607,103053,nk_cell,26125,25.3510329636
sample04608,99790,b_cell,10479,10.5010522096
sample04608,99790,cd4_t_cell,38807,38.8886661990
sample04608,99790,cd8_t_cell,22386,22.4331095300
sample04608,99790,monocyte,18024,18.0619300531
sample04608,99790,nk_cell,10094,10.1152420082
sample04609,95220,b_cell,9560,10.0399075824
sample04609,95220,cd4_t_cell,33185,34.8508716656
sample04609,95220,cd8_t_cell,20914,21.9638731359
sample04609,95220,monocyte,15652,16.4377231674
sample04609,95220,nk_cell,15909,16.7076244486
sample04610,105835,b_cell,7058,6.6688713564
sample04610,105835,cd4_t_cell,29758,28.1173524826
sample04610,105835,cd8_t_cell,24724,23.3608919545
sample04610,105835,monocyte,29515,27.8877497992
sample04610,105835,nk_cell,14780,13.9651344073
sample04611,104089,b_cell,6129,5.8882302645
sample04611,104089,cd4_t_cell,31325,30.0944384133
sample04611,104089,cd8_t_cell,26252,25.2207245722
sample04611,104089,monocyte,25327,24.3320619854
sample04611,104089,nk_cell,15056,14.4645447646
sample04612,110697,b_cell,12927,11.6778232472
sample04612,110697,cd4_t_cell,28863,26.0738773408
sample04612,110697,cd8_t_cell,26743,24.1587396226
sample04612,110697,monocyte,27129,24.5074392260
sample04612,110697,nk_cell,15035,13.5821205633
sample04613,108992,b_cell,11602,10.6448179683
sample04613,108992,cd4_t_cell,35898,32.9363623018
sample04613,108992,cd8_t_cell,28165,25.8413461538
sample04613,108992,monocyte,17294,15.8672196124
sample04613,108992,nk_cell,16033,14.7102539636
sample04614,99031,b_cell,6575,6.6393351577
sample04614,99031,cd4_t_cell,27930,28.2032898789
sample04614,99031,cd8_t_cell,21154,21.3609879735
sample04614,99031,monocyte,23040,23.2654421343
sample04614,99031,nk_cell,20332,20.5309448557
sample04615,107778,b_cell,5616,5.2107109058
sample04615,107778,cd4_t_cell,28273,26.2326263245
sample04615,107778,cd8_t_cell,28185,26.1509770083
sample04615,107778,monocyte,27848,25.8382972406
sample04615,107778,nk_cell,17856,16.5673885208
sample04616,104506,b_cell,9474,9.0655082005
sample04616,104506,cd4_t_cell,37029,35.4324153637
sample04616,104506,cd8_t_cell,32385,30.9886513693
sample04616,104506,monocyte,16485,15.7742139207
sample04616,104506,nk_cell,9133,8.7392111458
sample04617,105330,b_cell,7793,7.3986518561
sample04617,105330,cd4_t_cell,25098,23.8279692395
sample04617,105330,cd8_t_cell,23893,22.6839456945
sample04617,105330,monocyte,27649,26.2498813254
sample04617,105330,nk_cell,20897,19.8395518846
sample04618,103607,b_cell,4329,4.1782891117
sample04618,103607,cd4_t_cell,38224,36.8932601079
sample04618,103607,cd8_t_cell,28771,27.7693592132
sample04618,103607,monocyte,18041,17.4129161157
sample04618,103607,nk_cell,14242,13.7461754515
sample04619,92668,b_cell,8045,8.6815297622
sample04619,92668,cd4_t_cell,28317,30.5574739932
sample04619,92668,cd8_t_cell,17450,18.8306643070
sample04619,92668,monocyte,19672,21.2284715328
sample04619,92668,nk_cell,19184,20.7018604049
sample04620,93957,b_cell,12015,12.7877646157
sample04620,93957,cd4_t_cell,30494,32.4552720926
sample04620,93957,cd8_t_cell,22353,23.7906702002
sample04620,93957,monocyte,17953,19.1076769160
sample04620,93957,nk_cell,11142,11.8586161755
sample04621,97957,b_cell,7173,7.3226007330
sample04621,97957,cd4_t_cell,26184,26.7300958584
sample04621,97957,cd8_t_cell,27730,28.3083393734
sample04621,97957,monocyte,16845,17.1963208347
sample04621,97957,nk_cell,20025,20.4426432006
sample04622,84247,b_cell,9218,10.9416359039
sample04622,84247,cd4_t_cell,24514,29.0977720275
sample04622,84247,cd8_t_cell,14581,17.3074412145
sample04622,84247,monocyte,17623,20.9182522820
sample04622,84247,nk_cell,18311,21.7348985721
sample04623,104149,b_cell,9982,9.5843455050
sample04623,104149,cd4_t_cell,31453,30.2000019203
sample04623,104149,cd8_t_cell,28431,27.2983898069
sample04623,104149,monocyte,15034,14.4350881910
sample04623,104149,nk_cell,19249,18.4821745768
sample04624,95287,b_cell,10194,10.6982064710
sample04624,95287,cd4_t_cell,27084,28.4236044791
sample04624,95287,cd8_t_cell,18144,19.0414222297
sample04624,95287,monocyte,21771,22.8478176456
sample04624,95287,nk_cell,18094,18.9889491746
sample04625,106541,b_cell,3130,2.9378361382
sample04625,106541,cd4_t_cell,45166,42.3930693348
sample04625,106541,cd8_t_cell,17295,16.2331872237
sample04625,106541,monocyte,27663,25.9646521058
sample04625,106541,nk_cell,13287,12.4712551975
sample04626,97556,b_cell,14495,14.8581327648
sample04626,97556,cd4_t_cell,29546,30.2861945959
sample04626,97556,cd8_t_cell,16255,16.6622247735
sample04626,97556,monocyte,19781,20.2765591045
sample04626,97556,nk_cell,17479,17.9168887613
sample04627,111331,b_cell,11000,9.8804465962
sample04627,111331,cd4_t_cell,29096,26.1346794693
sample04627,111331,cd8_t_cell,26017,23.3690526448
sample04627,111331,monocyte,29036,26.0807861243
sample04627,111331,nk_cell,16182,14.5350351654
sample04628,106174,b_cell,5473,5.1547459830
sample04628,106174,cd4_t_cell,30317,28.5540716183
sample04628,106174,cd8_t_cell,33224,31.2920300639
sample04628,106174,monocyte,20589,19.3917531599
sample04628,106174,nk_cell,16571,15.6073991749
sample04629,90317,b_cell,8236,9.1189919949
sample04629,90317,cd4_t_cell,31666,35.0609519802
sample04629,90317,cd8_t_cell,22134,24.5070141834
sample04629,90317,monocyte,17566,19.4492731158
sample04629,90317,nk_cell,10715,11.8637687257
sample04630,107279,b_cell,10716,9.9889074283
sample04630,107279,cd4_t_cell,32357,30.1615414014
sample04630,107279,cd8_t_cell,29131,27.1544291054
sample04630,107279,monocyte,16081,14.9898861846
sample04630,107279,nk_cell,18994,17.7052358803
sample04631,96384,b_cell,7191,7.4607818725
sample04631,96384,cd4_t_cell,26007,26.9826942231
sample04631,96384,cd8_t_cell,27443,28.4725680611
sample04631,96384,monocyte,18796,19.5011620186
sample04631,96384,nk_cell,16947,17.5827938247
sample04632,89607,b_cell,7903,8.8196234669
sample04632,89607,cd4_t_cell,27921,31.1593960293
sample04632,89607,cd8_t_cell,27183,30.3357996585
sample04632,89607,monocyte,11752,13.1150468155
sample04632,89607,nk_cell,14848,16.5701340297
sample04633,107056,b_cell,7636,7.1327155881
sample04633,107056,cd4_t_cell,25607,23.9192572112
sample04633,107056,cd8_t_cell,31745,29.6527051263
sample04633,107056,monocyte,23975,22.3948214019
sample04633,107056,nk_cell,18093,16.9005006725
sample04634,98885,b_cell,8003,8.0932396218
sample04634,98885,cd4_t_cell,22164,22.4139151540
sample04634,98885,cd8_t_cell,28834,29.1591242352
sample04634,98885,monocyte,19080,19.2951408201
sample04634,98885,nk_cell,20804,21.0385801689
sample04635,95995,b_cell,15554,16.2029272358
sample04635,95995,cd4_t_cell,17267,17.9873951768
sample04635,95995,cd8_t_cell,13601,14.1684462732
sample04635,95995,monocyte,23202,24.1700088546
sample04635,95995,nk_cell,26371,27.4712224595
sample04636,93717,b_cell,9052,9.6588665877
sample04636,93717,cd4_t_cell,20334,21.6972374276
sample04636,93717,cd8_t_cell,21957,23.4290470246
sample04636,93717,monocyte,17032,18.1738638667
sample04636,93717,nk_cell,25342,27.0409850934
sample04637,102965,b_cell,10024,9.7353469626
sample04637,102965,cd4_t_cell,40192,39.0346234157
sample04637,102965,cd8_t_cell,22678,22.0249599378
sample04637,102965,monocyte,16713,16.2317292284
sample04637,102965,nk_cell,13358,12.9733404555
sample04638,104802,b_cell,11099,10.5904467472
sample04638,104802,cd4_t_cell,27456,26.1979733211
sample04638,104802,cd8_t_cell,25807,24.6245300662
sample04638,104802,monocyte,30987,29.5671838324
sample04638,104802,nk_cell,9453,9.0198660331
sample04639,107523,b_cell,13166,12.2448220381
sample04639,107523,cd4_t_cell,33495,31.1514745682
sample04639,107523,cd8_t_cell,25659,23.8637314807
sample04639,107523,monocyte,16848,15.6692056583
sample04639,107523,nk_cell,18355,17.0707662547
sample04640,101143,b_cell,4251,4.2029601653
sample04640,101143,cd4_t_cell,29724,29.3880940846
sample04640,101143,cd8_t_cell,27697,27.3840008701
sample04640,101143,monocyte,20930,20.6934735968
sample04640,101143,nk_cell,18541,18.3314712832
sample04641,105305,b_cell,9998,9.4943260054
sample04641,105305,cd4_t_cell,30624,29.0812402070
sample04641,105305,cd8_t_cell,27042,25.6796923223
sample04641,105305,monocyte,26277,24.9532310906
sample04641,105305,nk_cell,11364,10.7915103746
sample04642,93616,b_cell,4893,5.2266706546
sample04642,93616,cd4_t_cell,25825,27.5860963938
sample04642,93616,cd8_t_cell,31438,33.5818663476
sample04642,93616,monocyte,21661,23.1381387797
sample04642,93616,nk_cell,9799,10.4672278243
sample04643,97870,b_cell,9710,9.9213242056
sample04643,97870,cd4_t_cell,29532,30.1747215694
sample04643,97870,cd8_t_cell,20583,21.0309594360
sample04643,97870,monocyte,12988,13.2706651681
sample04643,97870,nk_cell,25057,25.6023296209
sample04644,99474,b_cell,11113,11.1717634759
sample04644,99474,cd4_t_cell,32652,32.8246576995
sample04644,99474,cd8_t_cell,26818,26.9598085932
sample04644,99474,monocyte,13282,13.3522327442
sample04644,99474,nk_cell,15609,15.6915374872
sample04645,93210,b_cell,7369,7.9058040983
sample04645,93210,cd4_t_cell,26633,28.5731144727
sample04645,93210,cd8_t_cell,25722,27.5957515288
sample04645,93210,monocyte,22556,24.1991202661
sample04645,93210,nk_cell,10930,11.7262096342
sample04646,112515,b_cell,11824,10.5088210461
sample04646,112515,cd4_t_cell,34200,30.3959472070
sample04646,112515,cd8_t_cell,21349,18.9743589744
sample04646,112515,monocyte,28102,24.9762253922
sample04646,112515,nk_cell,17040,15.1446473803
sample04647,90178,b_cell,13231,14.6720929717
sample04647,90178,cd4_t_cell,31682,35.1327374748
sample04647,90178,cd8_t_cell,16937,18.7817427754
sample04647,90178,monocyte,14390,15.9573288385
sample04647,90178,nk_cell,13938,15.4560979396
sample04648,94256,b_cell,10811,11.4698268545
sample04648,94256,cd4_t_cell,30709,32.5804192837
sample04648,94256,cd8_t_cell,18206,19.3154812426
sample04648,94256,monocyte,24138,25.6089797997
sample04648,94256,nk_cell,10392,11.0252928196
sample04649,98456,b_cell,5714,5.8036077029
sample04649,98456,cd4_t_cell,30130,30.6025026408
sample04649,98456,cd8_t_cell,27056,27.4802957666
sample04649,98456,monocyte,21545,21.8828715365
sample04649,98456,nk_cell,14011,14.2307223531
sample04650,100691,b_cell,7882,7.8279091478
sample04650,100691,cd4_t_cell,29577,29.3740254839
sample04650,100691,cd8_t_cell,27507,27.3182310236
sample04650,100691,monocyte,18891,18.7613590092
sample04650,100691,nk_cell,16834,16.7184753354
sample04651,105919,b_cell,8010,7.5623825754
sample04651,105919,cd4_t_cell,33407,31.5401391629
sample04651,105919,cd8_t_cell,36209,34.1855568878
sample04651,105919,monocyte,17276,16.3105769503
sample04651,105919,nk_cell,11017,10.4013444236
sample04652,101520,b_cell,9668,9.5232466509
sample04652,101520,cd4_t_cell,32004,31.5248226950
sample04652,101520,cd8_t_cell,26756,26.3553979511
sample04652,101520,monocyte,16526,16.2785657998
sample04652,101520,nk_cell,16566,16.3179669031
sample04653,97080,b_cell,9275,9.5539761022
sample04653,97080,cd4_t_cell,27768,28.6032138443
sample04653,97080,cd8_t_cell,25857,26.6347342398
sample04653,97080,monocyte,20854,21.4812525752
sample04653,97080,nk_cell,13326,13.7268232386
sample04654,107624,b_cell,14048,13.0528506653
sample04654,107624,cd4_t_cell,27478,25.5314799673
sample04654,107624,cd8_t_cell,27548,25.5965212220
sample04654,107624,monocyte,20882,19.4027354493
sample04654,107624,nk_cell,17668,16.4164126961
sample04655,108173,b_cell,8470,7.8300500125
sample04655,108173,cd4_t_cell,37920,35.0549582613
sample04655,108173,cd8_t_cell,21300,19.6906806689
sample04655,108173,monocyte,24430,22.5841938376
sample04655,108173,nk_cell,16053,14.8401172196
sample04656,93115,b_cell,10650,11.4374697954
sample04656,93115,cd4_t_cell,30570,32.8303710466
sample04656,93115,cd8_t_cell,17536,18.8326263223
sample04656,93115,monocyte,23262,24.9820114912
sample04656,93115,nk_cell,11097,11.9175213446
sample04657,106115,b_cell,5084,4.7910286010
sample04657,106115,cd4_t_cell,34012,32.0520190360
sample04657,106115,cd8_t_cell,25582,24.1078075673
sample04657,106115,monocyte,28946,27.2779531640
sample04657,106115,nk_cell,12491,11.7711916317
sample04658,105262,b_cell,11049,10.4966654633
sample04658,105262,cd4_t_cell,24934,23.6875605632
sample04658,105262,cd8_t_cell,28065,26.6620432825
sample04658,105262,monocyte,21288,20.2238224620
sample04658,105262,nk_cell,19926,18.9299082290
sample04659,97213,b_cell,9062,9.3217985249
sample04659,97213,cd4_t_cell,26627,27.3903696008
sample04659,97213,cd8_t_cell,27135,27.9129334554
sample04659,97213,monocyte,22071,22.7037536132
sample04659,97213,nk_cell,12318,12.6711448057
sample04660,110105,b_cell,9787,8.8887879751
sample04660,110105,cd4_t_cell,29834,27.0959538622
sample04660,110105,cd8_t_cell,24030,21.8246219518
sample04660,110105,monocyte,29049,26.3829980473
sample04660,110105,nk_cell,17405,15.8076381636
sample04661,102047,b_cell,5546,5.4347506541
sample04661,102047,cd4_t_cell,26603,26.0693601968
sample04661,102047,cd8_t_cell,29053,28.4702147050
sample04661,102047,monocyte,21691,21.2558918930
sample04661,102047,nk_cell,19154,18.7697825512
sample04662,95409,b_cell,8315,8.7151107338
sample04662,95409,cd4_t_cell,22826,23.9243677221
sample04662,95409,cd8_t_cell,29458,30.8754939261
sample04662,95409,monocyte,19048,19.9645735727
sample04662,95409,nk_cell,15762,16.5204540452
sample04663,106153,b_cell,7719,7.2715797010
sample04663,106153,cd4_t_cell,34775,32.7593190960
